point
300
66	237	92
72	226	95
78	235	80
80	212	94
83	226	90
84	269	94
92	241	71
92	266	90
92	290	90
93	320	92
94	208	90
94	232	67
94	276	74
95	236	76
95	270	92
96	173	86
96	277	58
97	196	91
97	273	81
98	187	93
98	201	67
100	253	71
100	289	60
101	263	71
101	267	90
104	293	83
106	284	63
108	254	57
109	278	61
111	201	56
111	270	73
113	214	66
113	341	74
115	171	61
115	223	61
117	270	84
121	175	75
121	227	87
122	197	48
124	144	95
124	347	81
125	252	35
125	281	29
127	289	60
127	326	51
128	221	45
128	328	88
131	309	61
134	186	40
134	314	63
135	273	38
135	311	50
137	308	29
138	275	22
138	361	98
141	161	88
141	298	73
142	239	62
142	270	43
143	298	69
143	369	102
144	219	80
144	272	83
145	253	58
146	347	66
147	254	38
147	322	53
149	291	85
150	147	74
150	271	62
150	332	61
154	159	48
154	176	50
154	268	72
154	302	69
155	321	25
157	185	67
157	220	46
159	313	79
160	249	59
162	307	19
163	319	63
164	326	39
164	326	59
165	179	38
166	142	85
166	271	62
170	234	42
170	330	55
171	229	21
171	284	42
173	192	35
174	287	19
175	139	79
175	337	25
176	135	60
177	226	60
180	152	50
182	152	91
182	280	31
183	266	14
187	218	86
187	259	18
187	316	31
188	249	39
189	162	49
190	165	75
190	349	59
191	346	47
192	297	87
193	244	75
194	340	85
195	310	59
195	320	85
196	153	85
196	167	67
197	317	89
200	141	72
201	252	23
201	271	14
201	277	19
203	299	38
204	201	34
204	295	90
205	219	24
205	290	94
206	224	65
206	226	29
208	133	61
208	212	40
209	297	33
213	285	90
213	300	38
213	326	43
214	200	22
214	295	78
215	249	75
216	248	81
216	298	45
217	243	26
217	260	87
219	271	72
219	279	72
219	297	89
220	278	28
220	287	68
221	142	64
221	274	24
222	145	51
223	160	34
235	275	79
236	168	42
245	253	81
260	151	56
275	154	44
276	137	51
282	248	22
283	161	34
283	299	81
284	186	27
284	280	94
288	279	82
289	204	33
289	325	44
290	290	51
291	134	58
291	290	70
291	316	58
292	333	70
293	302	26
294	160	32
294	262	18
296	325	89
297	155	50
298	158	36
299	254	83
300	195	27
300	322	89
302	317	79
303	180	27
303	231	39
303	310	38
303	323	61
305	310	26
307	326	47
310	351	42
312	241	16
315	247	34
315	260	17
317	162	45
317	237	25
317	315	41
319	133	62
319	282	90
320	140	64
320	164	32
320	286	12
323	327	38
323	330	59
325	313	29
326	175	36
326	276	85
327	152	50
328	158	61
330	178	57
330	327	57
334	338	47
335	163	55
335	229	86
335	306	42
337	247	80
338	275	26
339	224	43
339	303	22
340	252	19
341	215	43
341	239	19
342	257	65
343	171	39
344	260	26
345	314	76
345	315	52
346	269	22
347	183	67
347	359	67
348	242	65
350	193	32
350	278	54
351	321	59
353	183	42
355	235	84
356	203	48
356	281	49
359	151	70
359	309	74
360	161	68
361	343	87
362	131	93
363	296	61
364	281	78
365	325	76
367	242	79
368	165	51
368	225	70
369	171	66
369	250	62
370	269	65
371	145	86
371	224	87
372	178	47
373	244	74
373	266	67
373	274	72
374	175	86
375	162	55
377	329	45
378	169	82
379	172	77
379	262	69
381	182	76
382	170	55
382	247	53
382	278	85
383	183	44
383	252	86
383	282	51
384	238	85
384	269	40
386	253	50
387	209	71
388	159	86
390	240	75
391	235	31
394	256	49
395	180	74
395	262	45
395	307	82
398	299	54
400	201	53
402	155	95
402	236	65
402	282	69
403	234	81
403	236	39
404	232	86
404	263	72
405	184	93
408	169	79
408	246	62
408	309	85
409	281	70
410	280	48
414	263	61
416	173	94
421	233	78
422	199	83
424	289	86
430	251	77
433	206	86
433	249	82
